,SeqNumber,TimeStamp,ProductID,BidVolume1,AskVolume1,Bid1,Ask1
0,2584755,1689644400.073736156,3035,7,20,3175000,3180000
0,2596702,1689644407.159966054,3035,12,55,3180000,3190000
0,2604962,1689644412.721165032,2353,45,31,408500,409000
0,2605554,1689644413.111186345,2353,26,295,406500,407000
0,2606266,1689644413.632258620,2353,22,1,406000,406500
0,2607361,1689644414.602216326,6116,405,346,139500,140000
0,2607486,1689644414.704172179,3035,32,3,3185000,3195000
0,2612246,1689644418.620301590,3035,33,13,3185000,3195000
0,2614507,1689644420.463712094,2313,13,2,478000,479000
0,2617459,1689644422.742249846,4938,83,27,850000,853000
0,2618511,1689644423.435073611,4938,71,27,850000,853000
0,2631008,1689644431.169001915,2353,309,1,399000,401500
0,2632202,1689644431.991342814,2353,3,1,399500,400500
0,2652647,1689644445.533809561,2353,40,11,400000,401500
0,2654001,1689644446.492009472,3035,10,66,3190000,3195000
0,2656869,1689644448.545390809,3042,11,1,902000,903000
0,2666737,1689644455.752815887,4938,13,27,847000,849000
0,2667875,1689644456.498769916,2344,3,65,286500,287000
0,2668957,1689644457.282862228,2353,10,24,397500,398500
0,2679434,1689644464.404497515,2371,47,42,499500,501000
0,2680440,1689644464.878926207,2353,10,14,399500,401500
0,2681589,1689644465.534827172,2371,43,2,499500,500000
0,2687153,1689644468.883128994,2313,55,42,477500,478500
0,2687273,1689644468.942534572,4938,1,13,851000,853000
0,2692869,1689644472.321353616,3035,54,52,3190000,3195000
0,2693673,1689644472.613488147,3035,56,72,3190000,3205000
0,2697969,1689644475.318855581,2353,55,63,400000,402500
0,2701298,1689644477.679003665,2353,23,5,401000,402000
0,2702152,1689644478.449961262,4938,8,2,852000,854000
0,2709829,1689644484.746768874,2353,89,44,402000,404500
0,2713979,1689644488.304317162,2353,3,15,402500,404500
0,2724757,1689644497.630240640,3035,58,29,3185000,3195000
0,2724981,1689644497.864460108,3035,2,29,3190000,3195000
0,2731731,1689644504.333249106,2353,54,81,402500,403500
0,2737128,1689644509.643736454,2481,1,15,810000,811000
0,2738909,1689644511.480778993,6213,9,4,751000,755000
0,2743567,1689644515.225711130,3035,32,20,3190000,3200000
0,2743689,1689644515.327147623,2353,43,22,401000,403000
0,2746362,1689644517.654853423,1504,2,41,537000,538000
0,2747755,1689644518.961141983,3035,33,1,3190000,3195000
0,2754233,1689644524.055689067,2376,9,13,2955000,2960000
0,2754024,1689644523.914029238,3035,36,7,3190000,3195000
0,2760957,1689644529.763613069,3035,1,21,3195000,3200000
0,2763217,1689644531.758319995,3035,31,7,3190000,3195000
0,2766000,1689644534.370538472,3035,62,4,3185000,3195000
0,2777030,1689644545.129138337,2481,3,29,810000,811000
0,2783958,1689644551.154093729,2376,35,36,2955000,2960000
0,2784707,1689644552.025893566,2376,26,92,2955000,2960000
0,2787321,1689644554.552936896,4938,20,10,857000,858000
0,2793692,1689644560.604751959,3035,1,22,3195000,3200000
0,2795469,1689644562.361650763,2474,21,1,1760000,1765000
0,2795519,1689644562.394737588,3035,1,14,3190000,3195000
0,2799682,1689644566.161395427,2376,69,25,2950000,2955000
0,2803579,1689644570.024881536,3035,49,26,3180000,3185000
0,2811423,1689644577.603311130,2353,171,14,401000,402000
0,2813536,1689644579.974194020,3035,40,27,3165000,3170000
0,2833167,1689644597.659881080,3380,2,1,444000,444500
0,2834363,1689644598.793016409,3380,23,6,443500,444500
0,2836739,1689644601.100291735,3035,4,29,3130000,3140000
0,2844604,1689644608.104643963,3035,1,17,3135000,3145000
0,2848947,1689644612.214861288,2376,7,24,2945000,2950000
0,2850101,1689644613.212432149,3035,7,13,3125000,3140000
0,2854340,1689644617.090235820,2615,33,17,508000,509000
0,2858501,1689644620.882188866,2376,73,22,2940000,2945000
0,2865452,1689644626.401568711,2376,42,30,2935000,2940000
0,2872288,1689644631.546567065,3035,1,9,3140000,3150000
0,2876742,1689644635.116868562,3035,5,9,3140000,3145000
0,2879192,1689644637.034207539,3035,1,11,3140000,3145000
0,2883410,1689644640.626192795,3035,28,8,3135000,3150000
0,2890216,1689644646.256759497,2353,154,13,398000,399000
0,2893006,1689644648.807262326,1609,38,62,389500,390500
0,2897898,1689644652.630688301,3035,24,11,3145000,3155000
0,2901817,1689644655.996374284,2353,182,35,397500,398500
0,2911962,1689644664.532791034,2481,9,1,808000,809000
0,2912871,1689644665.316160274,3035,10,13,3145000,3150000
0,2924621,1689644674.402447316,3673,27,1,409500,410500
0,2927765,1689644676.705314838,1609,61,104,390000,391000
0,2931439,1689644679.906163507,4938,2,7,844000,845000
0,2933367,1689644681.196481986,2481,40,21,806000,807000
0,2934248,1689644681.890767330,2481,102,63,809000,810000
0,2957423,1689644696.765298364,3035,3,15,3145000,3150000
0,2960219,1689644698.730834286,2301,33,414,1385000,1390000
0,2959266,1689644697.918302738,3380,45,9,440000,441500
0,2965717,1689644701.153784392,3035,28,4,3140000,3145000
0,2971174,1689644702.735810868,3035,12,3,3140000,3145000
0,2989321,1689644710.760248399,2881,1178,472,652000,653000
0,2999168,1689644716.142312144,4938,10,26,834000,836000
0,3016533,1689644726.945084083,1609,34,9,389500,390000
0,3019075,1689644728.432705416,2376,1,5,2910000,2915000
0,3020972,1689644729.545210017,3035,24,3,3120000,3135000
0,3024823,1689644731.505737510,4938,15,5,834000,837000
0,3025233,1689644731.762340144,4938,7,5,835000,837000
0,3026156,1689644732.390358602,2340,22,1,544000,546000
0,3027207,1689644733.109146519,3035,23,2,3135000,3140000
0,3031080,1689644735.807988161,3035,8,2,3130000,3140000
0,3031919,1689644736.311301179,2376,7,12,2915000,2920000
0,3031597,1689644736.084987085,2340,25,25,544000,547000
0,3032796,1689644736.963881234,4938,1,2,833000,835000
0,3042041,1689644743.502471536,3035,6,4,3130000,3135000
0,3047486,1689644747.919204703,1609,12,63,389500,390000
0,3048095,1689644748.388839983,4938,33,1,833000,835000
0,3048470,1689644748.680967683,3035,8,7,3130000,3135000
0,3048965,1689644749.084349961,1609,1,86,389500,390000
0,3049793,1689644749.692747422,4938,31,4,833000,836000
0,3051974,1689644751.477484359,3035,6,17,3130000,3135000
0,3059834,1689644757.620519643,2481,79,12,805000,806000
0,3060067,1689644757.868241157,2376,34,18,2910000,2920000
0,3060732,1689644758.482203020,2376,18,11,2910000,2915000
0,3066376,1689644762.263460812,6213,3,3,745000,747000
0,3067892,1689644763.566357084,2376,7,7,2910000,2915000
0,3071217,1689644766.115854774,3035,66,16,3100000,3110000
0,3073166,1689644767.513486612,2492,3,5,993000,994000
0,3082160,1689644775.419980843,4938,15,2,833000,834000
0,3102632,1689644792.594599640,2481,33,27,802000,805000
0,3111232,1689644800.097721196,6213,3,1,746000,749000
